policy_loss,serial_timesteps,time_elapsed,policy_entropy,fps,approxkl,value_loss,ep_reward_mean,n_updates,clipfrac,explained_variance,total_timesteps
-0.0002831756,19456,3221.741704940796,2.842187,25,9.315585e-06,455.1958,1.0109090025251022,76,0.0,0.0007581114768981934,77824
-0.0006405579,19712,3262.110709667206,2.842321,25,9.234846e-05,379.85452,1.2490349802069938,77,0.0,0.0011382699012756348,78848
-0.00046918294,19968,3302.7252826690674,2.842332,26,0.00017593293,903.19495,2.266386987473834,78,0.0,0.0015726089477539062,79872
-0.00030861876,20224,3341.0721185207367,2.8423789,26,6.165211e-05,660.0159,1.907742707318496,79,0.0,0.003552079200744629,80896
-8.585819e-05,20480,3379.7005145549774,2.8425117,25,1.8203737e-05,562.4993,1.787969301558487,80,0.0,0.002117633819580078,81920
-0.0010048975,20736,3419.865914583206,2.8425753,24,0.00019215266,430.4731,0.851897621445513,81,0.0,0.001616358757019043,82944
-0.0010728748,20992,3461.040970802307,2.8425384,26,0.0001487325,550.7278,2.800175908644321,82,0.0,0.004495143890380859,83968
0.001659691,21248,3499.3313026428223,2.8426309,23,0.0002554215,800.69464,2.334526074689773,83,0.0,0.0011567473411560059,84992
-2.6980939e-05,21504,3543.01816034317,2.8427007,26,2.5864285e-05,526.30945,2.1610103440775807,84,0.0,0.0012656450271606445,86016
-9.16344e-05,21760,3581.3127851486206,2.8428974,28,6.428451e-05,862.90186,2.5989789814371704,85,0.0,0.0044876933097839355,87040
-0.00028144225,22016,3617.4623770713806,2.8429112,22,5.7119076e-05,523.65906,2.7975448562057714,86,0.0,0.0018362998962402344,88064
0.00019441359,22272,3663.013643503189,2.8429382,26,2.7051976e-05,3508.3877,2.4891428936567963,87,0.0,0.0008199810981750488,89088
-0.00014721509,22528,3700.9817276000977,2.8429594,24,1.0028533e-05,839.4114,2.03660809771741,88,0.0,0.004866540431976318,90112
-0.0014513967,22784,3742.1338906288147,2.84298,25,0.0002244394,663.6077,2.8841285774252947,89,0.0,0.00512850284576416,91136
0.0007448699,23040,3781.8815813064575,2.842957,21,0.00045363762,766.99207,2.8106573923735594,90,0.0,-4.1961669921875e-05,92160
8.144646e-05,23296,3828.8313670158386,2.8428705,23,1.9069063e-05,669.1708,1.9606673589154107,91,0.0,0.0004890561103820801,93184
-8.563546e-05,23552,3871.8410511016846,2.8427658,26,2.8214312e-05,800.2306,3.0575731189424986,92,0.0,-0.000908970832824707,94208
-0.00063981174,23808,3911.0019569396973,2.843022,25,6.541656e-05,619.4952,0.7999123226662921,93,0.0,0.0009703636169433594,95232
